CODE,PERIOD,NR_TRIPS Y,NR_TRIPS N,DatabaseReleaseDate
DOL,2019045,34578,1,20200715
DOL,2019046,36225,6,20200715
DOL,2019047,35016,2,20200715
DOL,2019048,39490,0,20200715
DOL,2019049,41567,991,20200715
DOL,2019050,39436,1420,20200715
DOL,2019051,39728,1155,20200715
DOL,2019052,36049,910,20200715
DOL,2020001,40008,986,20200715
DOL,2020002,39005,1052,20200715
DOL,2020003,36084,1538,20200715
DOL,2020004,38113,1680,20200715
DOL,2020005,36988,1810,20200715
DOL,2020006,37649,1925,20200715
DOL,2020007,38741,2406,20200715
DOL,2020008,34564,1955,20200715
DOL,2020009,40017,2711,20200715
DOL,2020010,39328,2153,20200715
DOL,2020011,44245,1703,20200715
DOL,2020012,43452,1783,20200715
DOL,2020013,31908,1465,20200715
DOL,2020014,37339,2122,20200715
DOL,2020015,37123,2993,20200715
DOL,2020016,34146,3542,20200715
DT,2019037,17653,17600,20200715
DT,2019038,17677,17936,20200715
DT,2019039,18080,18124,20200715
DT,2019040,19592,19714,20200715
DT,2019041,20336,20555,20200715
DT,2019042,19550,19846,20200715
DT,2019043,18557,18952,20200715
DT,2019044,18777,19149,20200715
DT,2019045,18593,18867,20200715
DT,2019046,18408,18622,20200715
DT,2019047,18895,19003,20200715
DT,2019048,19402,19496,20200715
DT,2019049,23849,23586,20200715
DT,2019050,35794,22972,20200715
DT,2019051,42023,23750,20200715
DT,2019052,25359,17671,20200715
DT,2020001,17413,15357,20200715
DT,2020002,19139,16502,20200715
DT,2020003,19399,16559,20200715
DT,2020004,17250,16854,20200715
DT,2020005,18335,17759,20200715
DT,2020006,29491,16918,20200715
DT,2020007,35152,20177,20200715
DT,2020008,28495,15305,20200715
DT,2020009,30392,16273,20200715
DT,2020010,26786,19760,20200715
DT,2020011,33043,18789,20200715
DT,2020012,27989,14363,20200715
DT,2020013,5270,2675,20200715
FD,2019037,8502,54,20200715
FD,2019038,8413,0,20200715
FD,2019039,8237,0,20200715
FD,2019040,10244,0,20200715
FD,2019041,9435,0,20200715
FD,2019042,9038,0,20200715
FD,2019043,9478,0,20200715
FD,2019044,10132,0,20200715
FD,2019045,9297,0,20200715
FD,2019046,8458,0,20200715
FD,2019047,8041,0,20200715
FD,2019048,9884,0,20200715
FD,2019049,10550,0,20200715
FD,2019050,9911,0,20200715
FD,2019051,10190,314,20200715
FD,2019052,9771,427,20200715
FD,2020001,9619,203,20200715
FD,2020002,9023,115,20200715
FD,2020003,8467,476,20200715
FD,2020004,8661,542,20200715
FD,2020005,9075,641,20200715
FD,2020006,9041,701,20200715
FD,2020007,9242,710,20200715
FD,2020008,8434,609,20200715
FD,2020009,9300,739,20200715
FD,2020010,10112,834,20200715
FD,2020011,11824,577,20200715
FD,2020012,11357,642,20200715
FD,2020013,8189,489,20200715
FD,2020014,9611,701,20200715
FD,2020015,9650,727,20200715
FD,2020016,8640,707,20200715
FL,2019037,9475,4402,20200715
